iter	Poisson
0	0.921244141
1	0.8508161551
2	0.7874540204
3	0.7308183293
4	0.679982579
5	0.63446957
6	0.5937899295
7	0.5574945236
8	0.5250624903
9	0.4961739495
10	0.4703973082
11	0.4473839021
12	0.427062595
13	0.4089245713
14	0.3928483965
15	0.3786614504
16	0.3661189621
17	0.3549675382
18	0.3450780304
19	0.336402275
20	0.3288499252
21	0.322157507
22	0.3161789861
23	0.3109821174
24	0.3063900326
25	0.3023947644
26	0.2989425696
27	0.295850557
28	0.2931030453
29	0.2907781236
30	0.288761522
31	0.2868839169
32	0.2853352583
33	0.2840302505
34	0.2827230025
35	0.2816082828
36	0.280741504
37	0.2798270897
38	0.279057505
39	0.2783754561
40	0.2778396315
41	0.2773065966
42	0.2768857183
43	0.2764513991
44	0.2762252893
45	0.2759190193
46	0.2756310088
47	0.2753231538
48	0.2750861812
49	0.2748867845
